State,Medical marijuana legalized,Marijuana legalized for recreational use,No laws legalizing marijuana,Year
Vermont,Yes,,,2011
Alabama,,,Yes,2011
Georgia,,,Yes,2011
Idaho,,,Yes,2011
Indiana,,,Yes,2011
Iowa,,,Yes,2011
Kansas,,,Yes,2011
Kentucky,,,Yes,2011
Mississippi,,,Yes,2011
Missouri,,,Yes,2011
Nebraska,,,Yes,2011
North Carolina,,,Yes,2011
Ohio,,,Yes,2011
Oklahoma,,,Yes,2011
South Carolina,,,Yes,2011
South Dakota,,,Yes,2011
Tennessee,,,Yes,2011
Texas,,,Yes,2011
Utah,,,Yes,2011
West Virginia,,,Yes,2011
Wisconsin,,,Yes,2011
Wyoming,,,Yes,2011
Alaska,Yes,,,2011
California,Yes,,,2011
Colorado,Yes,,,2011
Massachusetts,,,Yes,2011
Nevada,Yes,,,2011
Oregon,Yes,,,2011
Virginia,,,Yes,2011
Washington,Yes,,,2011
District of Columbia,Yes,,,2011
Connecticut,Yes,,,2012
Hawaii,Yes,,,2012
Rhode Island,Yes,,,2012
Arizona,Yes,,,2012
Arkansas,,,Yes,2012
Delaware,Yes,,,2012
Florida,,,Yes,2012
Illinois,,,Yes,2012
Louisiana,,,Yes,2012
Maine,Yes,,,2012
Maryland,,,Yes,2012
Michigan,Yes,,,2012
Minnesota,,,Yes,2012
Montana,Yes,,,2012
New Hampshire,,,Yes,2012
New Jersey,Yes,,,2012
New Mexico,Yes,,,2012
New York,,,Yes,2012
North Dakota,,,Yes,2012
Pennsylvania,,,Yes,2012
Vermont,Yes,,,2012
Alabama,,,Yes,2012
Georgia,,,Yes,2012
Idaho,,,Yes,2012
Indiana,,,Yes,2012
Iowa,,,Yes,2012
Kansas,,,Yes,2012
Kentucky,,,Yes,2012
Mississippi,,,Yes,2012
Missouri,,,Yes,2012
Nebraska,,,Yes,2012
North Carolina,,,Yes,2012
Ohio,,,Yes,2012
Oklahoma,,,Yes,2012
South Carolina,,,Yes,2012
South Dakota,,,Yes,2012
Tennessee,,,Yes,2012
Texas,,,Yes,2012
Utah,,,Yes,2012
West Virginia,,,Yes,2012
Wisconsin,,,Yes,2012
Wyoming,,,Yes,2012
Alaska,Yes,,,2012
California,Yes,,,2012
Colorado,,Yes,,2012
Massachusetts,Yes,,,2012
Nevada,Yes,,,2012
Oregon,Yes,,,2012
Virginia,,,Yes,2012
Washington,,Yes,,2012
District of Columbia,Yes,,,2012
Connecticut,Yes,,,2013
Hawaii,Yes,,,2013
Rhode Island,Yes,,,2013
Arizona,Yes,,,2013
Arkansas,,,Yes,2013
Delaware,Yes,,,2013
Florida,,,Yes,2013
Illinois,Yes,,,2013
Louisiana,,,Yes,2013
Maine,Yes,,,2013
Maryland,,,Yes,2013
Michigan,Yes,,,2013
Minnesota,,,Yes,2013
Montana,Yes,,,2013
New Hampshire,Yes,,,2013
New Jersey,Yes,,,2013
New Mexico,Yes,,,2013
New York,,,Yes,2013
North Dakota,,,Yes,2013
Pennsylvania,,,Yes,2013
Vermont,Yes,,,2013
Alabama,,,Yes,2013
Georgia,,,Yes,2013
Idaho,,,Yes,2013
Indiana,,,Yes,2013
Iowa,,,Yes,2013
Kansas,,,Yes,2013
Kentucky,,,Yes,2013
Mississippi,,,Yes,2013
Missouri,,,Yes,2013
Nebraska,,,Yes,2013
North Carolina,,,Yes,2013
Ohio,,,Yes,2013
Oklahoma,,,Yes,2013
South Carolina,,,Yes,2013
South Dakota,,,Yes,2013
Tennessee,,,Yes,2013
Texas,,,Yes,2013
Utah,,,Yes,2013
West Virginia,,,Yes,2013
Wisconsin,,,Yes,2013
Wyoming,,,Yes,2013
Alaska,Yes,,,2013
California,Yes,,,2013
Colorado,,Yes,,2013
Massachusetts,Yes,,,2013
Nevada,Yes,,,2013
Oregon,Yes,,,2013
Virginia,,,Yes,2013
Washington,,Yes,,2013
District of Columbia,Yes,,,2013
Connecticut,Yes,,,2014
Hawaii,Yes,,,2014
Rhode Island,Yes,,,2014
Arizona,Yes,,,2014
